====================================================================================================
HERMANILAND FOOTBALL DRAFT GAME - PLAYER DATABASE
Complete roster of 7500 professional players from all eras
====================================================================================================

SOURCES:
- Football Legends (506 players from all eras)
- Champions League & Copa Libertadores (last 20 years, 319 players)
- World Cup squads (2006-2022, 499 players)
- Variants generated to reach 7500 total

POSITION DISTRIBUTION:
  CAM: 1000 ( 13.3%)
  CB:  667 (  8.9%)
  CDM: 1000 ( 13.3%)
  CM: 1000 ( 13.3%)
  GK:  502 (  6.7%)
  LB:  667 (  8.9%)
  LW:  998 ( 13.3%)
  RB:  668 (  8.9%)
  ST:  998 ( 13.3%)

====================================================================================================
COMPLETE PLAYER ROSTER
====================================================================================================

   1. Andres Iniesta                      | LB  | 2022 | SPD:83 DRB:77 SHO:58 DEF:92 PHY:77 IQ:89 | Napoli
 201. Jackson Martinez                    | CDM | 2006 | SPD:92 DRB:85 SHO:82 DEF:75 PHY:96 IQ:95 | Chelsea
 202. Abedi Ayew                          | GK  | 2014 | SPD:75 DRB:39 SHO:43 DEF:97 PHY:97 IQ:80 | Bayern Munich
 203. Giorgian de Arrascaeta              | ST  | 2014 | SPD:96 DRB:80 SHO:95 DEF:29 PHY:91 IQ:92 | Paris SG
 204. Emmanuel Macron                     | CDM | 2010 | SPD:79 DRB:92 SHO:67 DEF:77 PHY:91 IQ:95 | Liverpool
 205. Alvaro Morata                       | CAM | 2006 | SPD:86 DRB:76 SHO:71 DEF:84 PHY:89 IQ:93 | Barcelona
 206. Medhi Benatia                       | CDM | 2006 | SPD:94 DRB:84 SHO:83 DEF:70 PHY:89 IQ:88 | AC Milan
 207. Kingsley Coman                      | CAM | 2022 | SPD:88 DRB:71 SHO:67 DEF:72 PHY:95 IQ:78 | Bayern Munich
 208. Yaya Touré                          | ST  | 2022 | SPD:83 DRB:89 SHO:82 DEF:31 PHY:81 IQ:93 | Inter Milan
 209. Kepa Arrizabalaga                   | CAM | 2014 | SPD:89 DRB:84 SHO:79 DEF:75 PHY:86 IQ:84 | Paris SG
 210. N'Golo Kante                        | CDM | 2010 | SPD:92 DRB:78 SHO:68 DEF:84 PHY:88 IQ:95 | Chelsea
 211. Sandro                              | ST  | 2006 | SPD:95 DRB:88 SHO:98 DEF:32 PHY:75 IQ:89 | Inter Milan
 212. Jan Koller                          | CB  | 2010 | SPD:84 DRB:71 SHO:52 DEF:90 PHY:93 IQ:87 | Paris SG
 213. Steven Pienaar                      | CM  | 2010 | SPD:94 DRB:87 SHO:72 DEF:84 PHY:93 IQ:97 | Real Madrid
 214. Sergei Rebrov                       | LW  | 2006 | SPD:94 DRB:84 SHO:94 DEF:25 PHY:92 IQ:98 | Juventus
 215. Sander Westerveld                   | CAM | 2006 | SPD:87 DRB:84 SHO:88 DEF:85 PHY:76 IQ:92 | Manchester United
 216. Alexis Mac Allister                 | LB  | 2022 | SPD:85 DRB:80 SHO:61 DEF:91 PHY:92 IQ:90 | Chelsea
 217. Ghighlione Carlos                   | GK  | 2010 | SPD:71 DRB:41 SHO:40 DEF:96 PHY:93 IQ:91 | Inter Milan
 218. Ronaldinho Gaucho                   | ST  | 2010 | SPD:94 DRB:84 SHO:88 DEF:29 PHY:88 IQ:95 | Napoli
 219. Pele                                | GK  | 2006 | SPD:71 DRB:53 SHO:23 DEF:90 PHY:76 IQ:92 | Barcelona
 220. Vinícius Júnior                     | RB  | 2010 | SPD:77 DRB:61 SHO:58 DEF:94 PHY:91 IQ:84 | Paris SG
 221. Ivan Perisic                        | RB  | 2006 | SPD:78 DRB:77 SHO:63 DEF:92 PHY:80 IQ:89 | Chelsea
 222. Marco Materazzi                     | CM  | 2006 | SPD:86 DRB:85 SHO:80 DEF:76 PHY:79 IQ:84 | Juventus
 223. Ronnie Whelan                       | LB  | 2014 | SPD:79 DRB:65 SHO:54 DEF:94 PHY:83 IQ:92 | Real Madrid
 224. Mark van Bommel                     | GK  | 2014 | SPD:80 DRB:45 SHO:20 DEF:96 PHY:95 IQ:78 | Real Madrid
 225. Réduan Amrani                       | CAM | 2022 | SPD:82 DRB:77 SHO:66 DEF:69 PHY:84 IQ:78 | Inter Milan
 226. Nicolas Anelka                      | LB  | 2018 | SPD:77 DRB:74 SHO:50 DEF:94 PHY:84 IQ:85 | Paris SG
 227. Julian Draxler                      | GK  | 2006 | SPD:73 DRB:48 SHO:26 DEF:94 PHY:86 IQ:97 | Real Madrid
 228. Mario Mandzukic                     | CM  | 2006 | SPD:79 DRB:75 SHO:85 DEF:75 PHY:90 IQ:94 | Inter Milan
 229. Júlio Cesar                         | CDM | 2006 | SPD:79 DRB:70 SHO:73 DEF:84 PHY:87 IQ:80 | Juventus
 230. Gio Simeone                         | LB  | 2018 | SPD:87 DRB:75 SHO:65 DEF:89 PHY:80 IQ:88 | AC Milan
 231. José Fonte                          | ST  | 2010 | SPD:89 DRB:90 SHO:83 DEF:33 PHY:86 IQ:92 | Juventus
 232. Franz Beckenbauer                   | LB  | 2018 | SPD:78 DRB:74 SHO:46 DEF:85 PHY:79 IQ:96 | Juventus
 233. Massimo Oddo                        | CAM | 2006 | SPD:81 DRB:71 SHO:77 DEF:76 PHY:98 IQ:97 | Real Madrid
 234. Samir Nasri                         | LW  | 2014 | SPD:86 DRB:79 SHO:92 DEF:52 PHY:88 IQ:87 | Chelsea
 235. Cristian Romero                     | ST  | 2014 | SPD:93 DRB:78 SHO:82 DEF:35 PHY:94 IQ:90 | Manchester United
 236. Curtis Jones                        | LW  | 2014 | SPD:91 DRB:79 SHO:93 DEF:25 PHY:98 IQ:94 | Barcelona
 237. Cesar Azpilicueta                   | ST  | 2006 | SPD:93 DRB:80 SHO:86 DEF:41 PHY:96 IQ:95 | Real Madrid
 238. Gonzalo Jara                        | LB  | 2006 | SPD:84 DRB:61 SHO:57 DEF:92 PHY:88 IQ:81 | Napoli
 239. Inigo Martinez                      | LB  | 2006 | SPD:76 DRB:76 SHO:51 DEF:95 PHY:91 IQ:81 | Inter Milan
 240. João Pinto                          | CM  | 2006 | SPD:90 DRB:87 SHO:80 DEF:68 PHY:75 IQ:85 | AC Milan
 241. Nico Williams                       | GK  | 2018 | SPD:75 DRB:39 SHO:22 DEF:92 PHY:93 IQ:85 | Juventus
 242. George Weah                         | ST  | 2006 | SPD:82 DRB:91 SHO:93 DEF:53 PHY:97 IQ:87 | AC Milan
 243. Nery Pumpido                        | GK  | 2010 | SPD:70 DRB:52 SHO:41 DEF:95 PHY:82 IQ:85 | Juventus
 244. Frederic Kanoute                    | LB  | 2018 | SPD:87 DRB:73 SHO:58 DEF:86 PHY:96 IQ:84 | Inter Milan
 245. Éder Militão                        | LW  | 2006 | SPD:96 DRB:94 SHO:95 DEF:43 PHY:85 IQ:90 | Barcelona
 246. Julián Montes                       | CDM | 2010 | SPD:84 DRB:70 SHO:77 DEF:67 PHY:76 IQ:84 | AC Milan
 247. Mohamed Aboutrika                   | GK  | 2014 | SPD:81 DRB:34 SHO:23 DEF:94 PHY:78 IQ:89 | Napoli
 248. Boubakary Soumare                   | LB  | 2022 | SPD:88 DRB:80 SHO:60 DEF:88 PHY:92 IQ:80 | Paris SG
 249. Teófilo Cubillas                    | CAM | 2018 | SPD:84 DRB:81 SHO:87 DEF:77 PHY:97 IQ:92 | Manchester United
 250. Julio Cesar                         | LW  | 2010 | SPD:89 DRB:91 SHO:90 DEF:56 PHY:87 IQ:86 | Inter Milan
 251. Filippo Inzaghi                     | LB  | 2010 | SPD:89 DRB:80 SHO:69 DEF:99 PHY:79 IQ:94 | Paris SG
 252. Mikaël Silvestre                    | CDM | 2014 | SPD:81 DRB:90 SHO:84 DEF:82 PHY:83 IQ:97 | Napoli
 253. Juan Mata                           | LW  | 2018 | SPD:96 DRB:93 SHO:91 DEF:33 PHY:91 IQ:86 | Barcelona
 254. Emlyn Hughes                        | RB  | 2018 | SPD:88 DRB:79 SHO:65 DEF:98 PHY:80 IQ:97 | Arsenal
 255. Jordi Alba                          | ST  | 2018 | SPD:84 DRB:82 SHO:94 DEF:42 PHY:94 IQ:90 | Paris SG
 256. Brad Friedel                        | GK  | 2010 | SPD:72 DRB:32 SHO:45 DEF:93 PHY:84 IQ:83 | Liverpool
 257. Claudio Reyna                       | LW  | 2018 | SPD:85 DRB:86 SHO:87 DEF:46 PHY:92 IQ:96 | Bayern Munich
 258. Nuno Gomes                          | LB  | 2010 | SPD:84 DRB:79 SHO:67 DEF:87 PHY:87 IQ:90 | Barcelona
 259. Stéphane Henchoz                    | CDM | 2006 | SPD:79 DRB:82 SHO:78 DEF:78 PHY:77 IQ:81 | Juventus
 260. Wim Kieft                           | LW  | 2022 | SPD:96 DRB:76 SHO:93 DEF:46 PHY:85 IQ:87 | Paris SG
 261. Sasa Ilic                           | CB  | 2022 | SPD:83 DRB:65 SHO:68 DEF:94 PHY:86 IQ:87 | AC Milan
 262. Carles Puyol                        | CM  | 2010 | SPD:86 DRB:86 SHO:88 DEF:64 PHY:82 IQ:88 | Napoli
 263. Danilo Carrillo                     | ST  | 2014 | SPD:93 DRB:77 SHO:91 DEF:54 PHY:92 IQ:91 | Arsenal
 264. Rodrygo Goes                        | CDM | 2014 | SPD:85 DRB:81 SHO:76 DEF:60 PHY:82 IQ:98 | Bayern Munich
 265. Alisson Becker                      | RB  | 2022 | SPD:81 DRB:73 SHO:58 DEF:99 PHY:87 IQ:98 | Chelsea
 266. Jader Obrian                        | GK  | 2010 | SPD:72 DRB:36 SHO:39 DEF:90 PHY:97 IQ:89 | Inter Milan
 267. Marco Asensio                       | ST  | 2022 | SPD:91 DRB:87 SHO:98 DEF:28 PHY:86 IQ:78 | Arsenal
 268. Serhiy Rebrov                       | CAM | 2022 | SPD:87 DRB:77 SHO:70 DEF:85 PHY:75 IQ:79 | Liverpool
 269. John O'Shea                         | CAM | 2014 | SPD:83 DRB:92 SHO:66 DEF:70 PHY:78 IQ:90 | Juventus
 270. Alexis Sánchez                      | CB  | 2014 | SPD:90 DRB:77 SHO:59 DEF:90 PHY:82 IQ:97 | Manchester United
 271. Angelos Charisteas                  | LB  | 2010 | SPD:90 DRB:79 SHO:58 DEF:86 PHY:76 IQ:85 | Paris SG
 272. Nani                                | RB  | 2006 | SPD:77 DRB:72 SHO:63 DEF:91 PHY:89 IQ:85 | Napoli
 273. Thibaut Courtois                    | CM  | 2018 | SPD:94 DRB:89 SHO:65 DEF:61 PHY:89 IQ:78 | Inter Milan
 274. Lucas Hernandez                     | CAM | 2006 | SPD:88 DRB:91 SHO:79 DEF:76 PHY:92 IQ:87 | Juventus
 275. David Villa                         | CDM | 2014 | SPD:79 DRB:73 SHO:77 DEF:63 PHY:97 IQ:87 | Juventus
 276. Jaap Stam                           | CB  | 2010 | SPD:79 DRB:76 SHO:52 DEF:98 PHY:92 IQ:80 | Napoli
 277. Marcus Tutte                        | GK  | 2006 | SPD:74 DRB:45 SHO:33 DEF:92 PHY:93 IQ:95 | Liverpool
 278. Adriano                             | LW  | 2006 | SPD:88 DRB:79 SHO:97 DEF:25 PHY:94 IQ:81 | Barcelona
 279. Wilfried Bony                       | CM  | 2006 | SPD:82 DRB:72 SHO:76 DEF:82 PHY:88 IQ:78 | Juventus
 280. Mark Lawrenson                      | LB  | 2018 | SPD:77 DRB:74 SHO:70 DEF:87 PHY:96 IQ:86 | Juventus
 281. Ulreich Sven                        | CDM | 2010 | SPD:83 DRB:72 SHO:85 DEF:79 PHY:83 IQ:80 | Real Madrid
 282. Hany Ramadan                        | CAM | 2022 | SPD:91 DRB:73 SHO:71 DEF:70 PHY:91 IQ:84 | Liverpool
 283. Marta                               | GK  | 2010 | SPD:81 DRB:49 SHO:30 DEF:88 PHY:80 IQ:95 | Barcelona
 284. Oguchi Onyewu                       | LB  | 2006 | SPD:90 DRB:71 SHO:46 DEF:87 PHY:76 IQ:92 | Real Madrid
 285. Florian Thauvin                     | CDM | 2006 | SPD:92 DRB:74 SHO:83 DEF:82 PHY:76 IQ:98 | Napoli
 286. Ousmane Dembélé                     | CAM | 2022 | SPD:79 DRB:73 SHO:77 DEF:85 PHY:76 IQ:82 | Napoli
 287. Daniele De Rossi                    | CAM | 2010 | SPD:89 DRB:89 SHO:86 DEF:66 PHY:81 IQ:93 | Liverpool
 288. Hulk                                | LB  | 2018 | SPD:89 DRB:80 SHO:46 DEF:96 PHY:89 IQ:93 | Barcelona
 289. Rivaldo                             | CAM | 2010 | SPD:80 DRB:71 SHO:78 DEF:82 PHY:77 IQ:83 | Barcelona
 290. Mario Gomez                         | RB  | 2014 | SPD:75 DRB:75 SHO:47 DEF:93 PHY:85 IQ:87 | Manchester United
 291. Gonzalo Higuaín                     | ST  | 2022 | SPD:88 DRB:78 SHO:84 DEF:35 PHY:94 IQ:82 | Paris SG
 292. Alfredo Di Stéfano                  | ST  | 2022 | SPD:83 DRB:91 SHO:84 DEF:54 PHY:98 IQ:96 | Chelsea
 293. Sadio Mane                          | RB  | 2018 | SPD:89 DRB:77 SHO:57 DEF:85 PHY:88 IQ:89 | Juventus
 294. Martin Benitez                      | CM  | 2022 | SPD:88 DRB:76 SHO:85 DEF:67 PHY:76 IQ:81 | Paris SG
 295. Rúben Dias                          | GK  | 2014 | SPD:73 DRB:52 SHO:21 DEF:89 PHY:87 IQ:97 | Arsenal
 296. Mark Hughes                         | CAM | 2006 | SPD:88 DRB:87 SHO:74 DEF:83 PHY:87 IQ:96 | Manchester United
 297. Hernandez Hugo                      | CM  | 2014 | SPD:88 DRB:79 SHO:77 DEF:82 PHY:77 IQ:80 | Paris SG
 298. Florian Neuhaus                     | CAM | 2014 | SPD:80 DRB:82 SHO:80 DEF:70 PHY:91 IQ:91 | Arsenal
 299. Gigi Donnarumma                     | CDM | 2022 | SPD:93 DRB:86 SHO:70 DEF:70 PHY:77 IQ:92 | Juventus
 300. Aymeric Laporte                     | ST  | 2006 | SPD:88 DRB:80 SHO:98 DEF:51 PHY:75 IQ:97 | Bayern Munich
 301. Mauro Camoranesi                    | ST  | 2022 | SPD:86 DRB:95 SHO:93 DEF:34 PHY:84 IQ:96 | Juventus
 302. Vilson Vilela                       | CDM | 2022 | SPD:82 DRB:90 SHO:72 DEF:77 PHY:82 IQ:84 | Manchester United
 303. Acuña Marcos                        | CAM | 2022 | SPD:79 DRB:80 SHO:87 DEF:72 PHY:84 IQ:83 | Chelsea
 304. Shay Given                          | LW  | 2022 | SPD:87 DRB:91 SHO:86 DEF:45 PHY:80 IQ:97 | Real Madrid
 305. Mason Mount                         | RB  | 2006 | SPD:82 DRB:70 SHO:46 DEF:94 PHY:86 IQ:90 | Real Madrid
 306. John Terry                          | LB  | 2022 | SPD:77 DRB:62 SHO:64 DEF:89 PHY:93 IQ:78 | Real Madrid
 307. Diego Forlan                        | LW  | 2022 | SPD:82 DRB:78 SHO:84 DEF:45 PHY:97 IQ:94 | Arsenal
 308. Macoumba Kandji                     | CB  | 2010 | SPD:79 DRB:70 SHO:49 DEF:95 PHY:96 IQ:85 | Bayern Munich
 309. Wesley Sneijder                     | CM  | 2022 | SPD:90 DRB:92 SHO:83 DEF:85 PHY:85 IQ:79 | Chelsea
 310. Jay DeMerit                         | CDM | 2010 | SPD:83 DRB:90 SHO:68 DEF:85 PHY:96 IQ:82 | Chelsea
 311. David Trezeguet                     | CB  | 2014 | SPD:89 DRB:77 SHO:55 DEF:86 PHY:81 IQ:95 | Arsenal
 312. Samuel Umtiti                       | CDM | 2014 | SPD:92 DRB:91 SHO:88 DEF:70 PHY:77 IQ:86 | Inter Milan
 313. Wes Brown                           | LB  | 2006 | SPD:82 DRB:70 SHO:61 DEF:97 PHY:87 IQ:85 | Arsenal
 314. Blaise Matuidi                      | ST  | 2022 | SPD:91 DRB:88 SHO:85 DEF:53 PHY:90 IQ:95 | Napoli
 315. Isco Alarcon                        | ST  | 2022 | SPD:82 DRB:87 SHO:90 DEF:41 PHY:77 IQ:80 | Real Madrid
 316. Manuel Neuer                        | CB  | 2018 | SPD:89 DRB:69 SHO:68 DEF:96 PHY:95 IQ:90 | Juventus
 317. Jesus Navas                         | CB  | 2006 | SPD:81 DRB:60 SHO:55 DEF:96 PHY:79 IQ:92 | Manchester United
 318. Franck Ribéry                       | CDM | 2006 | SPD:85 DRB:80 SHO:73 DEF:75 PHY:91 IQ:96 | Chelsea
 319. Raúl González                       | CAM | 2022 | SPD:94 DRB:83 SHO:76 DEF:76 PHY:92 IQ:87 | Arsenal
 320. Ferran Torres                       | CAM | 2006 | SPD:80 DRB:88 SHO:77 DEF:77 PHY:84 IQ:85 | Real Madrid
 321. William Carvalho                    | ST  | 2022 | SPD:82 DRB:77 SHO:98 DEF:27 PHY:97 IQ:97 | Napoli
 322. Enzo Fernandez                      | CDM | 2022 | SPD:79 DRB:76 SHO:73 DEF:62 PHY:76 IQ:85 | Arsenal
 323. Roger Milla                         | RB  | 2010 | SPD:76 DRB:66 SHO:59 DEF:90 PHY:89 IQ:89 | Bayern Munich
 324. Giancarlo Antognoni                 | CB  | 2014 | SPD:84 DRB:61 SHO:45 DEF:94 PHY:97 IQ:79 | Bayern Munich
 325. Marko Milic                         | RB  | 2018 | SPD:87 DRB:80 SHO:47 DEF:90 PHY:88 IQ:91 | Inter Milan
 326. Patrick Vieira                      | LB  | 2018 | SPD:81 DRB:65 SHO:52 DEF:99 PHY:78 IQ:80 | Real Madrid
 327. William Gallas                      | CM  | 2006 | SPD:82 DRB:75 SHO:75 DEF:75 PHY:84 IQ:98 | Inter Milan
 328. Dayot Upamecano                     | ST  | 2010 | SPD:84 DRB:92 SHO:84 DEF:53 PHY:89 IQ:98 | Manchester United
 329. Lucas Hernández                     | LW  | 2006 | SPD:96 DRB:85 SHO:93 DEF:50 PHY:88 IQ:88 | AC Milan
 330. Oscar                               | RB  | 2010 | SPD:83 DRB:65 SHO:58 DEF:89 PHY:75 IQ:92 | AC Milan
 331. Vincent Kompany                     | CM  | 2014 | SPD:86 DRB:88 SHO:67 DEF:76 PHY:93 IQ:93 | Napoli
 332. Djibril Cissé                       | CM  | 2018 | SPD:78 DRB:78 SHO:66 DEF:71 PHY:87 IQ:86 | Barcelona
 333. Diego Forlán                        | RB  | 2018 | SPD:83 DRB:65 SHO:58 DEF:90 PHY:92 IQ:96 | Paris SG
 334. Sergio Batista                      | CDM | 2014 | SPD:94 DRB:80 SHO:88 DEF:69 PHY:86 IQ:88 | Inter Milan
 335. Andrea Pirlo                        | CM  | 2006 | SPD:87 DRB:77 SHO:68 DEF:68 PHY:83 IQ:89 | AC Milan
 336. Pepe                                | CB  | 2022 | SPD:80 DRB:60 SHO:67 DEF:92 PHY:92 IQ:91 | Bayern Munich
 337. Dedryck Boyata                      | CM  | 2022 | SPD:81 DRB:91 SHO:68 DEF:65 PHY:75 IQ:87 | Real Madrid
 338. Giorgio Chiellini                   | CAM | 2010 | SPD:84 DRB:73 SHO:68 DEF:78 PHY:96 IQ:85 | Paris SG
 339. Victor Valdés                       | CAM | 2022 | SPD:90 DRB:82 SHO:81 DEF:76 PHY:80 IQ:84 | Chelsea
 340. Ronaldo Nazário                     | LB  | 2010 | SPD:88 DRB:71 SHO:68 DEF:89 PHY:76 IQ:82 | Paris SG
 341. Steve Mandanda                      | RB  | 2010 | SPD:89 DRB:70 SHO:57 DEF:86 PHY:87 IQ:97 | Juventus
 342. Karl-Heinz Rummenigge               | RB  | 2010 | SPD:77 DRB:66 SHO:46 DEF:91 PHY:87 IQ:85 | Manchester United
 343. Kevin Keegan                        | LB  | 2006 | SPD:79 DRB:77 SHO:70 DEF:87 PHY:84 IQ:92 | Chelsea
 344. Naohiro Takahara                    | CM  | 2006 | SPD:78 DRB:86 SHO:86 DEF:80 PHY:76 IQ:95 | Paris SG
 345. Domingos Duarte                     | LW  | 2022 | SPD:86 DRB:80 SHO:97 DEF:49 PHY:76 IQ:85 | Real Madrid
 346. Pau Torres                          | CB  | 2018 | SPD:82 DRB:63 SHO:67 DEF:98 PHY:90 IQ:88 | Manchester United
 347. Garrincha                           | LW  | 2014 | SPD:94 DRB:79 SHO:82 DEF:37 PHY:75 IQ:95 | Liverpool
 348. David Luiz                          | GK  | 2006 | SPD:74 DRB:34 SHO:31 DEF:90 PHY:85 IQ:82 | Real Madrid
 349. Francesco Totti                     | CB  | 2022 | SPD:85 DRB:61 SHO:58 DEF:88 PHY:96 IQ:88 | Inter Milan
 350. Jerome Boateng                      | RB  | 2006 | SPD:80 DRB:63 SHO:58 DEF:98 PHY:76 IQ:81 | Liverpool
 351. Ederson Moraes                      | ST  | 2022 | SPD:86 DRB:87 SHO:83 DEF:54 PHY:86 IQ:79 | Juventus
 352. Fabrice Barthez                     | LB  | 2010 | SPD:81 DRB:68 SHO:58 DEF:98 PHY:85 IQ:97 | Barcelona
 353. Sergio Ramos                        | CB  | 2006 | SPD:80 DRB:78 SHO:46 DEF:89 PHY:79 IQ:98 | AC Milan
 354. Hatem Ben Arfa                      | RB  | 2006 | SPD:90 DRB:78 SHO:47 DEF:95 PHY:91 IQ:94 | Chelsea
 355. Roberto Ayala                       | CM  | 2010 | SPD:81 DRB:72 SHO:65 DEF:62 PHY:98 IQ:78 | Liverpool
 356. Lionel Messi                        | LW  | 2014 | SPD:86 DRB:75 SHO:86 DEF:46 PHY:92 IQ:87 | Juventus
 357. Damiano Doni                        | ST  | 2018 | SPD:91 DRB:94 SHO:94 DEF:44 PHY:98 IQ:87 | Napoli
 358. Emiliano Martínez                   | CAM | 2006 | SPD:89 DRB:86 SHO:67 DEF:71 PHY:84 IQ:92 | AC Milan
 359. Robinho                             | CM  | 2006 | SPD:82 DRB:76 SHO:74 DEF:62 PHY:97 IQ:92 | Barcelona
 360. Rio Ferdinand                       | CAM | 2018 | SPD:82 DRB:87 SHO:81 DEF:62 PHY:97 IQ:87 | Manchester United
 361. Ahmed Hassan                        | CDM | 2018 | SPD:90 DRB:74 SHO:88 DEF:83 PHY:75 IQ:91 | Chelsea
 362. Stan Collymore                      | RB  | 2022 | SPD:77 DRB:80 SHO:59 DEF:96 PHY:80 IQ:84 | Bayern Munich
 363. Gabriel Jesus                       | LW  | 2010 | SPD:94 DRB:92 SHO:83 DEF:57 PHY:89 IQ:97 | Arsenal
 364. Stephan Henchoz                     | CM  | 2010 | SPD:89 DRB:92 SHO:69 DEF:68 PHY:91 IQ:96 | Bayern Munich
 365. Phil Neville                        | CDM | 2022 | SPD:86 DRB:91 SHO:88 DEF:80 PHY:98 IQ:93 | AC Milan
 366. Xavi Hernandez                      | CAM | 2022 | SPD:93 DRB:86 SHO:84 DEF:79 PHY:89 IQ:95 | Barcelona
 367. Eusebio                             | ST  | 2014 | SPD:88 DRB:86 SHO:88 DEF:40 PHY:98 IQ:87 | Inter Milan
 368. João Félix                          | LW  | 2010 | SPD:91 DRB:91 SHO:94 DEF:34 PHY:93 IQ:80 | Juventus
 369. Joao Cancelo                        | LB  | 2010 | SPD:89 DRB:62 SHO:62 DEF:87 PHY:83 IQ:97 | Barcelona
 370. Rui Costa                           | LB  | 2022 | SPD:86 DRB:71 SHO:65 DEF:95 PHY:89 IQ:91 | Inter Milan
 371. Barry Davies                        | CM  | 2018 | SPD:78 DRB:78 SHO:66 DEF:65 PHY:94 IQ:91 | Juventus
 372. Trent Alexander-Arnold              | ST  | 2014 | SPD:83 DRB:91 SHO:91 DEF:30 PHY:84 IQ:87 | Paris SG
 373. Roy Keane                           | LW  | 2014 | SPD:88 DRB:83 SHO:90 DEF:29 PHY:95 IQ:81 | Liverpool
 374. Eric Cantona                        | CM  | 2022 | SPD:80 DRB:83 SHO:84 DEF:62 PHY:92 IQ:85 | AC Milan
 375. Fernando Torres                     | CDM | 2022 | SPD:84 DRB:79 SHO:67 DEF:75 PHY:84 IQ:80 | Bayern Munich
 376. Aurelien Tchouameni                 | CAM | 2022 | SPD:79 DRB:81 SHO:82 DEF:67 PHY:81 IQ:82 | AC Milan
 377. Dennis Bergkamp                     | ST  | 2006 | SPD:95 DRB:83 SHO:95 DEF:25 PHY:81 IQ:95 | Juventus
 378. Sergio Agüero                       | LW  | 2018 | SPD:95 DRB:75 SHO:97 DEF:34 PHY:88 IQ:96 | Real Madrid
 379. Ruben Dias                          | LB  | 2018 | SPD:86 DRB:71 SHO:53 DEF:95 PHY:85 IQ:86 | Real Madrid
 380. Giacinto Facchetti                  | RB  | 2014 | SPD:77 DRB:71 SHO:56 DEF:85 PHY:88 IQ:78 | Paris SG
 381. Philippe Coutinho                   | LB  | 2022 | SPD:76 DRB:69 SHO:69 DEF:92 PHY:94 IQ:84 | Juventus
 382. Michu                               | CAM | 2018 | SPD:85 DRB:78 SHO:78 DEF:77 PHY:93 IQ:96 | Juventus
 383. Ray Clemence                        | CAM | 2018 | SPD:81 DRB:70 SHO:80 DEF:84 PHY:84 IQ:93 | Arsenal
 384. Ronaldinho Gaúcho                   | GK  | 2010 | SPD:78 DRB:42 SHO:28 DEF:99 PHY:77 IQ:81 | Liverpool
 385. Nicolás Otamendi                    | LW  | 2010 | SPD:84 DRB:93 SHO:84 DEF:36 PHY:91 IQ:86 | Paris SG
 386. Felix Götze                         | CDM | 2006 | SPD:84 DRB:92 SHO:83 DEF:68 PHY:83 IQ:87 | Inter Milan
 387. Leroy Sané                          | RB  | 2014 | SPD:83 DRB:77 SHO:66 DEF:88 PHY:89 IQ:88 | Manchester United
 388. Robbie Keane                        | CM  | 2018 | SPD:91 DRB:88 SHO:87 DEF:79 PHY:85 IQ:95 | Liverpool
 389. Aleksandar Kolarov                  | ST  | 2010 | SPD:82 DRB:75 SHO:97 DEF:50 PHY:96 IQ:97 | Chelsea
 390. Thiago Silva                        | CAM | 2018 | SPD:82 DRB:80 SHO:70 DEF:62 PHY:93 IQ:86 | Liverpool
 391. Xavi Hernández                      | CAM | 2006 | SPD:93 DRB:84 SHO:85 DEF:72 PHY:75 IQ:86 | Arsenal
 392. Bastian Schweinsteiger              | CM  | 2018 | SPD:89 DRB:91 SHO:72 DEF:65 PHY:93 IQ:96 | Real Madrid
 393. Juan Riquelme                       | LW  | 2010 | SPD:95 DRB:94 SHO:91 DEF:26 PHY:94 IQ:84 | Real Madrid
 394. Youri Djorkaeff                     | ST  | 2018 | SPD:92 DRB:93 SHO:89 DEF:39 PHY:98 IQ:91 | Manchester United
 395. Essam El-Hadary                     | ST  | 2022 | SPD:83 DRB:92 SHO:94 DEF:26 PHY:77 IQ:87 | Liverpool
 396. Alan Hansen                         | ST  | 2014 | SPD:96 DRB:87 SHO:97 DEF:34 PHY:83 IQ:84 | Liverpool
 397. Holger Badstuber                    | CAM | 2006 | SPD:91 DRB:74 SHO:69 DEF:78 PHY:92 IQ:97 | Liverpool
 398. Cafu                                | CAM | 2022 | SPD:90 DRB:79 SHO:77 DEF:77 PHY:88 IQ:81 | Inter Milan
 399. Carlos Tévez                        | LW  | 2006 | SPD:92 DRB:86 SHO:84 DEF:26 PHY:95 IQ:81 | Liverpool
 400. Nélson Semedo                       | ST  | 2010 | SPD:89 DRB:87 SHO:84 DEF:47 PHY:95 IQ:78 | Bayern Munich
 401. Jérôme Boateng                      | CM  | 2006 | SPD:86 DRB:78 SHO:67 DEF:76 PHY:83 IQ:90 | Real Madrid
 402. Luka Modrić                         | LB  | 2018 | SPD:83 DRB:62 SHO:47 DEF:97 PHY:95 IQ:90 | AC Milan
 403. Leon Goretzka                       | LB  | 2006 | SPD:81 DRB:72 SHO:56 DEF:93 PHY:77 IQ:88 | Liverpool
 404. Robert Pires                        | RB  | 2010 | SPD:76 DRB:70 SHO:51 DEF:87 PHY:79 IQ:98 | Arsenal
 405. Philipp Lahm                        | LW  | 2014 | SPD:86 DRB:77 SHO:82 DEF:30 PHY:94 IQ:85 | AC Milan
 406. David de Gea                        | CM  | 2006 | SPD:91 DRB:73 SHO:87 DEF:60 PHY:75 IQ:91 | Real Madrid
